Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT54VuCmU3yQtl6U089klOua,Interest,NEXO,2.12143615,NEXO,2.12143615,$8.32,-,-,"approved / 0.00213698 ETH",2021-05-08 23:00:03
NXT3iOkEPJArhQq1BPU40ViwV,Interest,NEXO,0.62412772,NEXO,0.62412772,$2.45,-,-,"approved / 0.00004171 BTC",2021-05-08 23:00:03
NXT2jTqJXU1aHRN8woEDVLds4,Interest,NEXO,0.50739735,NEXO,0.50739735,$1.99,-,-,"approved / 0.04109589 LINK",2021-05-08 23:00:03
NXT7hQjeyOQDna5yK7MhhqSwd,Interest,NEXO,0.06096227,NEXO,0.06096227,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-07 23:00:02
NXT7hQ8EZWZhr7F2vdi7UyLq8,Interest,NEXO,0.65946902,NEXO,0.65946902,$2.38,-,-,"approved / 0.00004171 BTC",2021-05-07 23:00:02
NXT7e9lnkriOEG3y2hjqxw55O,Interest,NEXO,2.03832872,NEXO,2.03832872,$7.35,-,-,"approved / 0.00213698 ETH",2021-05-07 23:00:02
NXT4ZswZX9iVXznFY7rni1xeM,Interest,NEXO,0.75925954,NEXO,0.75925954,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-07 23:00:02
NXTwsmtcwoyCbX9HqiwVZj2D,Interest,NEXO,0.54919895,NEXO,0.54919895,$1.98,-,-,"approved / 0.04109589 LINK",2021-05-07 23:00:02
NXT7WqOGLTJI7x5Mu0fZIYZ2y,Interest,NEXO,0.05948274,NEXO,0.05948274,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-06 23:00:02
NXT6koE1rQmvTdtmvaeyweMWB,Interest,NEXO,0.64269881,NEXO,0.64269881,$2.36,-,-,"approved / 0.00004171 BTC",2021-05-06 23:00:02
NXT4s47EZn8FGRN10UYKqQnJM,Interest,NEXO,0.53419657,NEXO,0.53419657,$1.96,-,-,"approved / 0.04109589 LINK",2021-05-06 23:00:02
NXT1xJ7T7ZonbQ5cuflasArPO,Interest,NEXO,2.05518035,NEXO,2.05518035,$7.54,-,-,"approved / 0.00213698 ETH",2021-05-06 23:00:02
NXTf81jUg2Zr7YFJni2YuVMa,Interest,NEXO,0.74700457,NEXO,0.74700457,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-06 23:00:02
NXT7cprN3gpSve3S99erLByq2,Interest,NEXO,0.73255517,NEXO,0.73255517,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-05 23:00:03
NXT7B7mJgbExiB9SeViYYCXy5,Interest,NEXO,0.54020661,NEXO,0.54020661,$2.02,-,-,"approved / 0.04109589 LINK",2021-05-05 23:00:03
NXT4PEqykSITK35dMR5uHK5sO,Interest,NEXO,2.00868090,NEXO,2.00868090,$7.51,-,-,"approved / 0.00213698 ETH",2021-05-05 23:00:03
NXT1Xdl4PNaROcWkBojUt10cC,Interest,NEXO,0.63705724,NEXO,0.63705724,$2.38,-,-,"approved / 0.00004171 BTC",2021-05-05 23:00:03
NXTokWAtd0uYSUuRdnflZoiL,Interest,NEXO,0.05805698,NEXO,0.05805698,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-05 23:00:03
NXT6gMEGIrDGfjfRTR5gRQbJq,Interest,NEXO,0.74972774,NEXO,0.74972774,$2.74,-,-,"approved / 2.73972602 USDC",2021-05-04 23:00:03
NXT2x7wZ0q2dENcumhb5VnmxY,Interest,NEXO,1.93564948,NEXO,1.93564948,$7.07,-,-,"approved / 0.00213698 ETH",2021-05-04 23:00:03
NXT2VexRb97wCg8XhChm7VseD,Interest,NEXO,0.05944587,NEXO,0.05944587,$0.22,-,-,"approved / 0.18082191 EURX",2021-05-04 23:00:03
NXT1lpV4maIyZsCHhh5dBlZN4,Interest,NEXO,0.61775246,NEXO,0.61775246,$2.26,-,-,"approved / 0.00004171 BTC",2021-05-04 23:00:03
NXTLWFRcBLoe1ZjaiL8GTSQk,Interest,NEXO,0.53153998,NEXO,0.53153998,$1.94,-,-,"approved / 0.04109589 LINK",2021-05-04 23:00:03
NXT5Sh8D3XjHycukUjwOEQEvI,Interest,NEXO,0.61333759,NEXO,0.61333759,$2.39,-,-,"approved / 0.00004171 BTC",2021-05-03 23:00:03
NXT49jYxR7ehn3U5tL8cSD3CY,Interest,NEXO,1.84905874,NEXO,1.84905874,$7.21,-,-,"approved / 0.00213698 ETH",2021-05-03 23:00:03
NXTK2YjQ0w4gdqC17o2aEZIe,Interest,NEXO,0.44594798,NEXO,0.44594798,$1.74,-,-,"approved / 0.04109589 LINK",2021-05-03 23:00:03
